time,open,high,low,close
2018-09-30T00:00:00Z,6597.66,6662,6533,6626.57
2018-10-01T00:00:00Z,6626.57,6667.09,6510,6611.61
2018-10-02T00:00:00Z,6610,6640,6494,6525.79
2018-10-03T00:00:00Z,6525.79,6549,6430,6510
2018-10-04T00:00:00Z,6510.01,6643.46,6505.09,6593.79
2018-10-05T00:00:00Z,6591.69,6697,6543.08,6635.65
2018-10-06T00:00:00Z,6635.65,6651,6566.77,6594.27
2018-10-07T00:00:00Z,6596.44,6640,6525,6615.26
2018-10-08T00:00:00Z,6615.26,6715.6,6587,6673.01
2018-10-09T00:00:00Z,6673.01,6685.38,6607,6656.61
2018-10-10T00:00:00Z,6656.67,6659.95,6530,6631
2018-10-11T00:00:00Z,6630.21,6633.92,6205,6252.68
2018-10-12T00:00:00Z,6252.71,6360,6209,6298.01
2018-10-13T00:00:00Z,6298,6345,6285.07,6332.93
2018-10-14T00:00:00Z,6332.92,6416,6308,6339.34
2018-10-15T00:00:00Z,6339.34,7680,6300,6752.5
2018-10-16T00:00:00Z,6752.5,6900,6670,6759.27
2018-10-17T00:00:00Z,6762.76,6811.12,6676.01,6740.89
2018-10-18T00:00:00Z,6739.01,6796,6567,6618.96
2018-10-19T00:00:00Z,6618.96,6648.14,6523,6528.88
2018-10-20T00:00:00Z,6528.88,6617.65,6505.55,6588.4
2018-10-21T00:00:00Z,6585.72,6663.9,6580,6590.11
